Compound name;SMILES;Total Molweight;cLogP;H-Acceptors;H-Donors;sp3-Carbon Fraction;Metabolic pathway;Bioactivity;Species;Reference
Chromomycin A3;C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@H]2[C@@H](CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)O[C@H]5C[C@H]([C@H]([C@H](O5)C)OC(=O)C)O[C@@H]6C[C@H]([C@H]([C@H](O6)C)OC)O)O)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]7C[C@H]([C@@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@H]([C@@H](O8)C)OC(=O)C)(C)O)O;1183.25;15.625;26;8;0.75439;Terpenoids;Cytotoxicity against HCT 116, HL-60, OVCAR-8, PC-3M, and MALME-3M. Chromomycin A2: autophagy induction.;Streptomyces sp. BRA-090;"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Prodigiosin;CCCCCC1=C(NC(=C1)/C=C\2/C(=CC(=N2)C3=CC=CN3)OC)C;323.439;37.106;4;2;0.35;Alkaloids;Same as Chromomycin A2;Pseudoalteromonas sp. BRA-007;"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Nonylprodigiosin;COC\1=CC2=N/C1=C\C3=CC=C(N3)CCCCCCCCCC4=CC=C2N4;363.503;50.206;4;2;0.43478;Alkaloids;Cytotoxicity against HCT-8, HL-60, MDAMB435, and SF-295. Selective cytotoxic activity against cell lines overexpressing the tyrosine kinase receptor ErbB-2.;Actinomadura sp. BRA-177;"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Cyclononilprodigiosin;COC1=CC2=N\C1=C\C1=CC=C(CCCCCCCCCC3=CC=C2N3)N1;363.503;50.206;4;2;0.43478;Polyketides;Cytotoxicity against SK‑Mel-147, HCT 116, and MCF-7 cell lines.;Actinomadura sp. BRA-177;"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Cyclo(L‑Phe-L‑Pro) [diketopiperazine];C1C[C@H]2C(=O)N[C@H](C(=O)N2C1)CC3=CC=CC=C3;244.293;0.8538;4;1;0.42857;Alkaloids/ Amino acids and peptides;Same as nonylprodigiosin;Streptomyces sp. BRA-199;"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Cyclo(L‑Trp-L‑Pro) [diketopiperazine];C1C[C@H]2C(=O)N[C@H](C(=O)N2C1)CC3=CNC4=CC=CC=C43;283.33;0.8932;5;2;375;Polyketides;Cytotoxic against HCT 116, OVCAR-8, and SF- 295 cell lines.;Streptomyces sp. BRA-199;"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Isorigidol;C[C@]1(CC[C@]2(C=C1)C(=C)C[C@@H]([C@H](C2(C)C)Br)O)O;315.25;29.639;2;2;0.73333;Polyketides;Cytotoxic against OVCAR-8 cell line.; Laurencia scoparia and Laurencia dendroidea (Rhodomelaceae) red seaweed;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224564
Ma'ilione;CC1([C@@H]([C@@H](CC(=C)[C@@]12CCC(=O)C=C2)O)Br)C;299.207;28.096;2;1;0.64286;Alkaloids;Anthelmintic Activity; Laurencia scoparia;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224565
Dendroidiol;C[C@]1(CC[C@]2(C[C@@H]1Cl)C(=C)C[C@H]([C@H](C2(C)C)Br)O)O;351.711;35.243;2;2;0.86667;Terpenoids;Anthelmintic Activity;Laurencia dendroidea J. Agardh (red seaweed);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224566
(-)-isoobtusadiene;C[C@@]1(Br)C[C@H](O)CC(=C)[C@@]11CCC(=C)C=C1;283.208;37.181;1;1;0.57143;Terpenoids;Anti-inflammatory and antimycobacterial activities ;Ophionereis reticulate (Ophiuroids);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224567
(−)-acetyl isoobtusadiene;CC(=O)O[C@@H]1CC(=C)[C@@]2(CCC(=C)C=C2)[C@](C)(Br)C1;325.245;42.027;2;0;0.5625;Shikimates and Phenylpropanoids;Not known;Ophionereis reticulate (Ophiuroids);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224568
(+)-elatol;CC1=C(C)C[C@]2(CC1)C(=C)C[C@H](O)[C@H](Br)C2(C)C;313.277;43.984;1;1;0.75;Alkaloids;Not known;Ophionereis reticulate (Ophiuroids);Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224569
